place_external_id,category_slug,is_primary
afisha-msk-o2-restaurant-25457,restaurant,true
afisha-msk-sally-obriens-16675,bar,false
afisha-msk-sirena-20481,restaurant,true
afisha-msk-bakinskii-bulvar-28960,restaurant,true
afisha-msk-belgiiskaia-brasseri-033-48999,restaurant,true
afisha-msk-strelka-29786,bar,true
afisha-msk-khinkalnaia-na-neglinnoi-31960,restaurant,true
afisha-msk-zheraldin-352494,restaurant,true
afisha-msk-il-forno-29434,restaurant,true
afisha-msk-druzhba-22444,restaurant,true
afisha-msk-tsytsyla-36020,restaurant,true
afisha-msk-buono-29753,restaurant,true
afisha-msk-starlite-diner-18619,restaurant,true
afisha-msk-petrov-i-vasechka-60337,bar,true
afisha-msk-khishchnik-steaks-burgers-314442,restaurant,true
afisha-msk-bro-n-352236,restaurant,true
afisha-msk-kafe-muzeia-garazh-73798,coffee,true
afisha-msk-buiabes-17371,restaurant,true
afisha-msk-ryby-net-151051,restaurant,true
afisha-msk-didi-346479,restaurant,true
afisha-msk-voronezh-zakusochnaia-i-miasnaia-lavka-140281,bar,true
afisha-msk-zhan-zhak-20387,restaurant,false
afisha-msk-moskovskoe-nebo-174446,restaurant,true
afisha-msk-tsarskaia-okhota-20439,restaurant,true
afisha-msk-tsdl-45701,restaurant,true
afisha-msk-bamboobar-29554,restaurant,false
afisha-msk-buba-by-sumosan-47375,restaurant,true
afisha-msk-beloe-solntse-pustyni-20482,restaurant,true
afisha-msk-belfast-23230,restaurant,false
afisha-msk-krabykutaby-458318,restaurant,true
afisha-msk-porto-mikonos-259661,restaurant,true
afisha-msk-el-gaucho-20207,restaurant,true
afisha-msk-tutto-bene-29184,restaurant,true
afisha-msk-ess-thetik-39700,restaurant,true
afisha-msk-ribambelle-green-46934,restaurant,true
afisha-msk-sixty-33286,restaurant,true
afisha-msk-bolshoi-28017,restaurant,true
afisha-msk-vizir-makhallia-graf-orlov-31932,restaurant,true
afisha-msk-dom-kultur-458903,restaurant,true
afisha-msk-kitaiskaia-gramota-v-barvikhe-87480,restaurant,true
afisha-msk-chemodan-33086,restaurant,true
afisha-msk-baccarat-cristal-room-24557,restaurant,true
afisha-msk-craft-republic-48886,bar,false
afisha-msk-steak-it-easy-346782,restaurant,true
afisha-msk-ekspeditsiia-severnaia-kukhnia-22372,restaurant,true
afisha-msk-lions-head-pub-197317,bar,false
afisha-msk-u-pirosmani-22384,restaurant,true
afisha-msk-novikov-40192,restaurant,true
afisha-msk-aist-16218,restaurant,true
